Date,^DJI,^GSPC,^IXIC,^NYA,^RUT,^VIX
7/12/1990,2969.800049,365.4400024,467.2000122,2107.560059,169.4299927,17.05999947
7/13/1990,2980.199951,367.3099976,468.3999939,2118.23999,170.0399933,17.09000015
7/16/1990,2999.75,368.9500122,469.6000061,2126.689941,169.9700012,16.75
7/17/1990,2999.75,367.519989,464.5,2119.929932,168.8899994,16.65999985
7/18/1990,2981.679932,364.2200012,460.7999878,2112.949951,167.8600006,18.89999962
7/19/1990,2993.810059,365.3200073,458.2000122,2108.189941,167.0200043,18.55999947
7/20/1990,2961.139893,361.6099854,455.2999878,2089.899902,166.8200073,15.63000011
7/23/1990,2904.699951,355.3099976,444.6000061,2053.629883,162.8699951,23.68000031
7/24/1990,2922.52002,355.7900085,442.6000061,2056.060059,163.2400055,21.79000092
7/25/1990,2930.939941,357.0899963,445.5,2062.929932,163.6900024,20.19000053
7/26/1990,2920.790039,355.9100037,445.3999939,2057.120117,164.0800018,20.26000023
7/27/1990,2898.51001,353.4400024,442.6000061,2044.109985,163.1699982,21.12000084
7/30/1990,2917.330078,355.5499878,439.3999939,2053.209961,161.9499969,21.15999985
7/31/1990,2905.199951,356.1499939,438.2000122,2057.649902,161.5099945,21.11000061
8/1/1990,2899.26001,355.519989,435.8999939,2055.320068,160.7599945,21.63999939
8/2/1990,2864.600098,351.480011,428.8999939,2033.959961,158.5800018,20.43000031
8/3/1990,2809.649902,344.8599854,417.5,1996.530029,154.3500061,28.73999977
8/6/1990,2716.340088,334.4299927,400,1938.380005,149.0099945,35.90999985
8/7/1990,2710.639893,334.8299866,402.1000061,1939.75,149.1999969,32.75
8/8/1990,2734.899902,338.3500061,407.7000122,1960.369995,151.1199951,28.27000046
8/9/1990,2758.909912,339.9400024,413,1969.25,152.5399933,24.38999939
8/10/1990,2716.580078,335.519989,408,1947.150024,150.8399963,25.75
8/13/1990,2746.780029,338.8399963,408.2999878,1962.800049,150.1199951,25.73999977
8/14/1990,2747.77002,339.3900146,410.2999878,1967.77002,151.1399994,24.18000031
8/15/1990,2748.27002,340.0599976,411.5,1972.420044,151.3000031,23.30999947
8/16/1990,2681.439941,332.3900146,402.2999878,1932.140015,148.4700012,27.15999985
8/17/1990,2644.800049,327.8299866,393.5,1905.280029,145.6399994,27.53000069
8/20/1990,2656.439941,328.5100098,388.6000061,1907.709961,144.1600037,26.45999908
8/21/1990,2603.959961,321.8599854,379.7000122,1870.920044,140.7799988,28.89999962
8/22/1990,2560.149902,316.5499878,374.7999878,1842.160034,139,30.54999924
8/23/1990,2483.419922,307.0599976,360.2000122,1785.689941,132.9199982,36.47000122
8/24/1990,2532.919922,311.5100098,367.2999878,1808.640015,134.2200012,33.93000031
8/27/1990,2611.629883,321.4400024,381.2999878,1862.880005,138.6699982,29.62999916
8/28/1990,2614.850098,321.3399963,382.8999939,1863.72998,139.5700073,29.12000084
8/29/1990,2632.429932,324.1900024,381.7999878,1879.800049,140.0500031,27.37999916
8/30/1990,2593.320068,318.7099915,378.7000122,1852.829956,139.3200073,29.88999939
8/31/1990,2614.360107,322.5599976,381.2000122,1871.22998,139.5099945,29.89999962
9/4/1990,2613.370117,323.0899963,381.7000122,1872.920044,139.1100006,29.57999992
9/5/1990,2628.219971,324.3900146,382.3999939,1881.380005,140.0200043,28.52000046
9/6/1990,2596.290039,320.4599915,378.7999878,1861.609985,139.3399963,30.19000053
9/7/1990,2619.550049,323.3999939,380.3999939,1876.939941,140.1100006,28.72999954
9/10/1990,2615.590088,321.6300049,381.7000122,1868.380005,140.3300018,29.34000015
9/11/1990,2612.620117,321.0400085,379.5,1865.099976,139.7799988,28.37999916
9/12/1990,2625.73999,322.5400085,380.2999878,1872.5,139.8899994,28.12000084
9/13/1990,2582.669922,318.6499939,376.2000122,1852.089966,138.7100067,29.32999992
9/14/1990,2564.110107,316.8299866,374.3999939,1841.420044,137.8899994,30.55999947
9/17/1990,2567.330078,317.769989,374.1000061,1846.380005,137.4700012,29.54999924
9/18/1990,2571.290039,318.6000061,372.2000122,1849.130005,136.8999939,28.81999969
9/19/1990,2557.429932,316.6000061,371.7000122,1838.880005,136.7700043,27.87999916
9/20/1990,2518.320068,311.480011,364.3999939,1810.430054,134.7100067,28.65999985
9/21/1990,2512.379883,311.3200073,362.2999878,1808.430054,133.7400055,30.04000092
9/24/1990,2452.969971,304.5899963,352.2000122,1771.209961,130.3699951,30.55999947
9/25/1990,2485.639893,308.2600098,354.7999878,1789.079956,130.5200043,28.80999947
9/26/1990,2459.649902,305.0599976,350,1771.310059,128.6499939,28.19000053
9/27/1990,2427.47998,300.9700012,341.2000122,1748.469971,126.1800003,28.67000008
9/28/1990,2452.47998,306.0499878,344.5,1774.800049,126.6999969,29.11000061
10/1/1990,2515.840088,314.9400024,354.7000122,1821.01001,128.4199982,28.05999947
10/2/1990,2505.199951,315.2099915,356.3999939,1824.920044,129.0599976,27.28000069
10/3/1990,2489.360107,311.3999939,351.5,1805.98999,128.0599976,27.89999962
10/4/1990,2516.830078,312.6900024,349.8999939,1811.599976,127.7200012,27.51000023
10/5/1990,2510.639893,311.5,347.3999939,1804.939941,126.8399963,27.85000038
10/8/1990,2523.76001,313.480011,348.1000061,1814.97998,126.9100037,28.04000092
10/9/1990,2445.540039,305.1000061,339.1000061,1770.150024,124.3399963,30.70999908
10/10/1990,2407.919922,300.3900146,333.2999878,1744.349976,122.7799988,31.19000053
10/11/1990,2365.100098,295.4599915,325.6000061,1715.060059,120.0199966,33.97999954
10/12/1990,2398.02002,300.0299988,327.6000061,1738.530029,120.3799973,31.94000053
10/15/1990,2416.340088,303.230011,329.5,1753.550049,120.4400024,31.63999939
10/16/1990,2381.189941,298.9200134,325.3999939,1730.290039,119.3199997,31.45000076
10/17/1990,2387.870117,298.7600098,326.7999878,1729.76001,119.4800034,31.37000084
10/18/1990,2452.719971,305.7399902,334,1766.339966,120.9599991,29.60000038
10/19/1990,2520.790039,312.480011,337.3999939,1801.76001,122.1200027,27.86000061
10/22/1990,2516.090088,314.7600098,341.1000061,1813.609985,121.5999985,27.27000046
10/23/1990,2494.060059,312.3599854,341.1000061,1802.819946,122.2799988,27.56999969
10/24/1990,2504.209961,312.6000061,341,1803.880005,122.25,28.28000069
10/25/1990,2484.409912,310.1700134,339.7000122,1792.349976,122.3899994,29.04000092
10/26/1990,2436.139893,304.7099915,334.3999939,1762.75,120.8600006,30.75
10/29/1990,2430.199951,301.8800049,330.7999878,1747.199951,119.6900024,31.54000092
10/30/1990,2448.02002,304.0599976,329.7999878,1756.089966,118.8199997,30.52000046
10/31/1990,2442.330078,304,329.7999878,1757.040039,118.8300018,30.04000092
11/1/1990,2454.949951,307.019989,330.6000061,1772.050049,118.9100037,30.25
11/2/1990,2490.840088,311.8500061,336.5,1798.27002,120.3600006,30.03000069
11/5/1990,2502.22998,314.5899963,340.7999878,1813.290039,121.2900009,29.85000038
11/6/1990,2485.149902,311.6199951,340.5,1799.75,121.3000031,29.11000061
11/7/1990,2440.840088,306.0100098,336.7999878,1770.780029,120.3499985,30.87000084
11/8/1990,2443.810059,307.6099854,336.3999939,1777.869995,120.1600037,30.79000092
11/9/1990,2488.610107,313.7399902,342,1809.910034,121.3000031,26.95999908
11/12/1990,2540.350098,319.480011,351.5,1840.569946,123.2300034,25.60000038
11/13/1990,2535.399902,317.6700134,352.8999939,1832.530029,123.6500015,24.57999992
11/14/1990,2559.649902,320.3999939,356.8999939,1847.02002,124.7399979,22.88999939
11/15/1990,2545.050049,317.019989,354.5,1830.52002,124.3099976,22.56999969
11/16/1990,2550.25,317.1199951,350.8999939,1832.430054,124.25,21.34000015
11/19/1990,2565.350098,319.3399963,352.7000122,1843.420044,124.7300034,20.95000076
11/20/1990,2530.199951,315.3099976,348.2999878,1823.76001,124.1299973,20.09000015
11/21/1990,2539.360107,316.0299988,348.7999878,1826.400024,124.0299988,21.09000015
11/23/1990,2527.22998,315.1000061,349,1822.810059,124.2600021,20.97999954
11/26/1990,2533.169922,316.5100098,348.8999939,1828.829956,123.9899979,22.76000023
11/27/1990,2543.810059,318.1000061,354.1000061,1838.449951,125.2399979,22.86000061
11/28/1990,2535.149902,317.9500122,355.1000061,1838.880005,125.9899979,22.95999908
11/29/1990,2518.810059,316.4200134,355.7999878,1830.73999,126.0999985,23.90999985
11/30/1990,2559.649902,322.2200012,359.1000061,1861.609985,127.5100021,22.15999985
12/3/1990,2565.590088,324.1000061,361.2999878,1872.290039,128.1499939,22.29000092
12/4/1990,2579.699951,326.3500061,364.1000061,1884.130005,128.7299957,22.03000069
12/5/1990,2610.399902,329.9200134,370.8999939,1904.430054,130.6999969,20.94000053
12/6/1990,2602.47998,329.0700073,372.2999878,1900.209961,131.1300049,22.62000084
12/7/1990,2590.100098,327.75,371.5,1893.439941,130.9499969,22.59000015
12/10/1990,2596.780029,328.8900146,371.5,1898.829956,130.6999969,23.57999992
12/11/1990,2586.139893,326.4400024,368,1886.569946,129.8699951,23.75
12/12/1990,2622.280029,330.1900024,370.3999939,1905.910034,130.5700073,21.28000069
12/13/1990,2614.360107,329.3399963,371.5,1903.910034,130.9499969,23.04999924
12/14/1990,2593.810059,326.8200073,368.7999878,1889.630005,130.1699982,23.85000038
12/17/1990,2593.320068,326.019989,365.7000122,1884.449951,129.1199951,24.85000038
12/18/1990,2626.72998,330.0499878,370.2000122,1905.280029,129.9499969,23.11000061
12/19/1990,2626.72998,330.2000122,371.2000122,1906.969971,130.5800018,23.07999992
